Trace,Exp,CPU 0 cumulative IPC,CPU 1 cumulative IPC,CPU 2 cumulative IPC,CPU 3 cumulative IPC,CPU 4 cumulative IPC,CPU 5 cumulative IPC,CPU 6 cumulative IPC,CPU 7 cumulative IPC,CPU 8 cumulative IPC,CPU 9 cumulative IPC,CPU 10 cumulative IPC,CPU 11 cumulative IPC,LLC_AVG_MISS_LAT_CYCLES,CXL_READS_QDELAY_NS,CXL_WRITES_QDELAY_NS,CXL_RDBUS_UTILIZATION,CXL_WRBUS_UTILIZATION,CXL_RDBUS_CONGESTED,CXL_WRBUS_CONGESTED,MISS,LLC_MPKI,Filter
ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_25000M.length_250M_12T,base,0.659823,0.65927,0.666355,0.667114,0.657809,0.665932,0.665968,0.666276,0.666257,0.666316,0.666019,0.667026,203.987,0.91234,0.00298401,0.324902,4.54668e-05,0,0,5462586.125,27.312930625,1
ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_3500M.length_250M_12T,base,1.68769,1.68766,1.68816,1.68779,1.68746,1.68822,1.68824,1.68797,1.68805,1.68875,1.68872,1.68908,148.518,0.101388,0.626388,0.11115,0.119527,0,0,986760.5,4.9338025,1
ligra_Triangle.com-lj.ungraph.gcc_6.3.0_O3.drop_750M.length_250M_12T,base,1.49894,1.49935,1.49948,1.49933,1.49899,1.4992,1.49966,1.49937,1.49909,1.49939,1.49945,1.49991,105.885,0.0387548,0.993626,0.0660128,0.138918,0,0,896516.25,4.48258125,1
parsec_2.1.canneal.simlarge.prebuilt.drop_1250M.length_250M_12T,base,0.58502,0.582531,0.591483,0.591451,0.583024,0.588779,0.588379,0.588632,0.588631,0.588319,0.588605,0.588611,181.899,0.182767,0.143588,0.10272,0.0429042,0,0,2109684.41666667,10.5484220833333,1
parsec_2.1.facesim.simlarge.prebuilt.drop_1500M.length_250M_12T,base,0.937164,0.934951,0.952646,0.952758,0.936766,0.951277,0.950858,0.950902,0.953043,0.950481,0.950671,0.950757,201.905,0.608343,11.8221,0.111286,0.16826,0,0,1958546.45833333,9.79273229166667,1
parsec_2.1.fluidanimate.simlarge.prebuilt.drop_9500M.length_250M_12T,base,1.01747,1.00328,1.0383,1.03873,1.02947,1.03837,1.0388,1.0385,1.03863,1.03943,1.0388,1.03831,209.368,0.553098,8.42827,0.116992,0.133021,0,0,1770996.29166667,8.85498145833333,1
parsec_2.1.streamcluster.simlarge.prebuilt.drop_14750M.length_250M_12T,base,1.06908,1.07024,1.07063,1.07045,1.07011,1.06989,1.07032,1.07033,1.07004,1.07006,1.07016,1.07066,197.758,0.796238,0.0310561,0.317967,0.00140693,0,0,3304927.16666667,16.5246358333333,1
parsec_2.1.raytrace.simlarge.prebuilt.drop_23750M.length_250M_12T,base,1.29465,1.29514,1.29427,1.29475,1.29427,1.29457,1.29437,1.29445,1.2945,1.2949,1.29477,1.29344,124.116,0.121559,1.09696,0.0935711,0.146587,0,0,1289316,6.44658,1
602.gcc_s-1850B_12T,base,0.23292,0.232641,0.234443,0.23447,0.233239,0.23447,0.234502,0.234518,0.234501,0.234502,0.234498,0.233987,184.008,0.0977703,0.00506165,0.0815344,0.000227888,0,0,3883675.58333333,19.4183779166667,1
603.bwaves_s-2931B_12T,base,0.876736,0.878439,0.879508,0.87982,0.879459,0.87984,0.877804,0.878152,0.879793,0.8785,0.879562,0.880495,265.036,0.352003,1.06038,0.235838,0.20731,0,0,3738501.625,18.692508125,1
