ST_copy,0,122818695,4380307,24233851,50374488,122812941,0,124329371,42103103,73220249,103802752,124460516,
BC,0,65031752,4665288,10009360,21257863,62466504,0,66697029,48367745,55362407,61295399,65997931,
masstree,0,53725790,17553259,28304497,42863758,50028646,0,54398537,54391306,54391306,54391306,53468108,
gcc,0,48516443,39840367,48828473,48828473,48648577,0,48304921,48302033,48302033,48302033,48295915,
Mean,0,2824360762,408349909,641772988,949242996,2505440449,0,2868300311,1843800382,2242549820,2534445350,2737362747,
